Date,Adj Close
2021-10-12,91.14
2021-10-13,91.69
2021-10-14,92.55
2021-10-15,93.24
2021-10-18,93.19
2021-10-19,95.01
2021-10-20,96.25
2021-10-21,95.05
2021-10-22,95.95
2021-10-25,96.84
2021-10-26,97.05
2021-10-27,95.33
2021-10-28,96.22
2021-10-29,97.39
2021-11-01,97.42
2021-11-02,96.82
2021-11-03,96.13
2021-11-04,96.55
2021-11-05,97.6
2021-11-08,97.95
2021-11-09,98.67
2021-11-10,97.1
2021-11-11,97.11
2021-11-12,97.16
2021-11-15,99.37
2021-11-16,99.76
2021-11-17,99.31
2021-11-18,98.48
2021-11-19,96.29
2021-11-22,98.01
2021-11-23,100.07
2021-11-24,100.83
2021-11-26,98.53
2021-11-29,98.82
2021-11-30,97.12
2021-12-01,96.46
2021-12-02,99.07
2021-12-03,98.44
2021-12-06,99.98
2021-12-07,101.46
2021-12-08,101.92
2021-12-09,101.65
2021-12-10,101.82
2021-12-13,99.71
2021-12-14,100.0
2021-12-15,99.43
2021-12-16,100.36
2021-12-17,97.75
2021-12-20,97.79
2021-12-21,99.35
2021-12-22,99.92
2021-12-23,100.16
2021-12-27,102.21
2021-12-28,102.01
2021-12-29,101.49
2021-12-30,101.04
2021-12-31,100.97
2022-01-03,102.62
2022-01-04,104.48
2022-01-05,105.16
2022-01-06,106.06
2022-01-07,107.58
2022-01-10,107.65
2022-01-11,110.11
2022-01-12,109.56
2022-01-13,109.1
2022-01-14,110.96
2022-01-18,111.32
2022-01-19,110.92
2022-01-20,110.52
2022-01-21,109.2
2022-01-24,109.43
2022-01-25,114.09
2022-01-26,114.17
2022-01-27,116.48
2022-01-28,112.38
2022-01-31,113.0
2022-02-01,115.98
2022-02-02,116.51
2022-02-03,115.47
2022-02-04,116.92
2022-02-07,119.21
2022-02-08,117.4
2022-02-09,118.56
2022-02-10,117.05
2022-02-11,119.44
2022-02-14,117.6
2022-02-15,116.74
2022-02-16,116.77
2022-02-17,116.17
2022-02-18,116.0
2022-02-22,115.12
2022-02-23,117.86
2022-02-24,117.25
2022-02-25,122.06
2022-02-28,125.2
2022-03-01,130.18
2022-03-02,134.02
2022-03-03,135.83
2022-03-04,137.94
2022-03-07,140.89
2022-03-08,148.27
2022-03-09,144.57
2022-03-10,148.52
2022-03-11,148.59
2022-03-14,144.96
2022-03-15,137.62
2022-03-16,137.12
2022-03-17,139.5
2022-03-18,140.62
2022-03-21,143.15
2022-03-22,142.67
2022-03-23,144.21
2022-03-24,144.59
2022-03-25,147.21
2022-03-28,144.64
2022-03-29,142.87
2022-03-30,143.88
2022-03-31,141.58
2022-04-01,142.78
2022-04-04,142.92
2022-04-05,142.04
2022-04-06,143.3
2022-04-07,145.29
2022-04-08,147.75
2022-04-11,143.95
2022-04-12,146.95
2022-04-13,149.26
2022-04-14,149.19
2022-04-18,151.19
2022-04-19,149.4
2022-04-20,150.01
2022-04-21,143.1
2022-04-22,139.94
2022-04-25,136.93
2022-04-26,136.1
2022-04-27,135.85
2022-04-28,140.67
2022-04-29,136.22
2022-05-02,138.9
2022-05-03,141.28
2022-05-04,145.71
2022-05-05,144.56
2022-05-06,148.41
2022-05-09,138.46
2022-05-10,139.79
2022-05-11,141.86
2022-05-12,143.21
2022-05-13,145.96
2022-05-16,150.43
2022-05-17,151.31
2022-05-18,147.33
2022-05-19,146.27
2022-05-20,147.12
2022-05-23,150.53
2022-05-24,151.34
